Insert into UfAffiliate values(95947099, 'SDorgan9899@ufl.edu', '408-866-5778', 'N', 'F', '0', 'SonDorgan');
Insert into UfAffiliate values(67454799, 'AOgami5364@ufl.edu', '199-898-3733', 'N', 'F', '35', 'AnnettaOgami');
Insert into UfAffiliate values(22645203, 'FRhodarmer2689@ufl.edu', '527-313-8447', 'N', 'F', '36', 'FedericoRhodarmer');
Insert into UfAffiliate values(50639769, 'LSwingen5173@ufl.edu', '840-494-8877', 'N', 'F', '37', 'LaureneSwingen');
Insert into UfAffiliate values(38551503, 'MBah7438@ufl.edu', '878-382-9249', 'N', 'F', '38', 'MichaeleBah');
Insert into UfAffiliate values(58359287, 'SLevel9781@ufl.edu', '716-953-1890', 'N', 'F', '39', 'SherryLevel');
Insert into UfAffiliate values(78388025, 'CGrandison8372@ufl.edu', '920-481-9045', 'N', 'F', '40', 'CorrinaGrandison');
Insert into UfAffiliate values(31896465, 'KNaas1180@ufl.edu', '697-889-1613', 'N', 'P', '41', 'KristinNaas');
Insert into UfAffiliate values(21920380, 'CChapin3989@ufl.edu', '228-547-5366', 'N', 'F', '42', 'ChuChapin');
Insert into UfAffiliate values(79847126, 'EGockel9270@ufl.edu', '286-942-5749', 'N', 'F', '43', 'EldridgeGockel');
Insert into UfAffiliate values(65379156, 'SMcburrough8103@ufl.edu', '154-924-8075', 'N', 'F', '44', 'SylvesterMcburrough');
Insert into UfAffiliate values(56933828, 'LEllman9069@ufl.edu', '237-300-7785', 'N', 'E', '45', 'LavernaEllman');
Insert into UfAffiliate values(93959404, 'LKostyk132@ufl.edu', '724-232-9816', 'N', 'F', '46', 'LuzKostyk');
Insert into UfAffiliate values(65180944, 'KBloyer4751@ufl.edu', '425-571-6194', 'N', 'E', '47', 'KrisBloyer');
Insert into UfAffiliate values(83920263, 'TStealy8002@ufl.edu', '451-528-9219', 'N', 'F', '48', 'TobiasStealy');
Insert into UfAffiliate values(18269305, 'LMednis8890@ufl.edu', '312-550-1583', 'N', 'F', '49', 'LibradaMednis');
Insert into UfAffiliate values(67135056, 'KBundren7887@ufl.edu', '417-343-2710', 'Y', 'E', '50', 'KayBundren');
Insert into UfAffiliate values(69555410, 'HWoodruff7092@ufl.edu', '409-110-9162', 'N', 'F', '51', 'HermilaWoodruff');
Insert into UfAffiliate values(89917442, 'NStea1620@ufl.edu', '316-111-9165', 'N', 'F', '52', 'NadaStea');
Insert into UfAffiliate values(50600028, 'LFazzinga4357@ufl.edu', '931-581-6673', 'N', 'F', '53', 'LouannFazzinga');
Insert into UfAffiliate values(92870559, 'FCurles7688@ufl.edu', '721-353-5984', 'N', 'F', '54', 'FaustinoCurles');
Insert into UfAffiliate values(97077211, 'VHosaka2678@ufl.edu', '621-437-4530', 'N', 'F', '55', 'VitoHosaka');
Insert into UfAffiliate values(65224831, 'DHunnewell6138@ufl.edu', '881-662-8543', 'N', 'F', '56', 'DouglasHunnewell');
Insert into UfAffiliate values(91453218, 'LSepulvado4539@ufl.edu', '678-763-6813', 'N', 'F', '57', 'LeannaSepulvado');
Insert into UfAffiliate values(63930232, 'LBlass2589@ufl.edu', '585-583-6343', 'N', 'F', '58', 'LeaBlass');
Insert into UfAffiliate values(68947894, 'GHerschel4839@ufl.edu', '173-312-2279', 'N', 'F', '59', 'GlynisHerschel');
Insert into UfAffiliate values(47604218, 'HZelek2849@ufl.edu', '901-491-7814', 'N', 'F', '60', 'HoneyZelek');
Insert into UfAffiliate values(95914963, 'BTangen3511@ufl.edu', '328-162-8518', 'N', 'F', '61', 'BrennaTangen');
Insert into UfAffiliate values(85772861, 'WCredle6858@ufl.edu', '776-640-7945', 'N', 'F', '62', 'WildaCredle');
Insert into UfAffiliate values(93793921, 'RWinslow221@ufl.edu', '549-794-7413', 'N', 'F', '63', 'RoyWinslow');
Insert into UfAffiliate values(37141133, 'MArvie1999@ufl.edu', '604-679-1010', 'N', 'F', '64', 'MarcoArvie');
Insert into UfAffiliate values(43310711, 'MBoyne7717@ufl.edu', '215-116-4204', 'N', 'F', '65', 'MonetBoyne');
Insert into UfAffiliate values(92988922, 'JRambin8046@ufl.edu', '977-227-2352', 'N', 'F', '66', 'JaymeRambin');
Insert into UfAffiliate values(16039014, 'KSturdevant8202@ufl.edu', '348-622-3488', 'N', 'F', '67', 'KaraSturdevant');
Insert into UfAffiliate values(97217758, 'TWallerich1495@ufl.edu', '670-185-6225', 'Y', 'P', '68', 'TemekaWallerich');
Insert into UfAffiliate values(66382188, 'LCeluch2573@ufl.edu', '287-787-4245', 'N', 'F', '69', 'LarueCeluch');
Insert into UfAffiliate values(53600489, 'MLamantagne8836@ufl.edu', '275-369-5349', 'N', 'F', '70', 'MadisonLamantagne');
Insert into UfAffiliate values(23718647, 'TPruchnik1432@ufl.edu', '141-184-3770', 'N', 'F', '71', 'TadPruchnik');
Insert into UfAffiliate values(21469630, 'JPeter451@ufl.edu', '742-773-6624', 'N', 'F', '72', 'JohniePeter');
Insert into UfAffiliate values(29315842, 'LKeeney7567@ufl.edu', '733-206-2867', 'N', 'F', '73', 'LeeKeeney');
Insert into UfAffiliate values(88703128, 'TGarofolo4135@ufl.edu', '117-351-7856', 'N', 'F', '74', 'TimGarofolo');
Insert into UfAffiliate values(30142599, 'TPotucek9104@ufl.edu', '139-523-4951', 'N', 'F', '75', 'TonyPotucek');
Insert into UfAffiliate values(57168340, 'NSmalt4555@ufl.edu', '994-518-5644', 'N', 'F', '76', 'NoeSmalt');
Insert into UfAffiliate values(16524906, 'BKiracofe8067@ufl.edu', '962-203-4225', 'N', 'F', '77', 'BerryKiracofe');
Insert into UfAffiliate values(37045153, 'MGrumbling8451@ufl.edu', '733-808-1051', 'N', 'F', '78', 'MarlonGrumbling');
Insert into UfAffiliate values(47805914, 'PHarcrow3301@ufl.edu', '620-985-4175', 'Y', 'P', '79', 'PilarHarcrow');
Insert into UfAffiliate values(69467302, 'BPiechowski7274@ufl.edu', '652-543-6209', 'N', 'E', '80', 'BrentonPiechowski');
Insert into UfAffiliate values(63546092, 'SPavlikowski2502@ufl.edu', '987-945-2482', 'N', 'F', '81', 'SonnyPavlikowski');
Insert into UfAffiliate values(40166765, 'FRivara7963@ufl.edu', '150-963-4346', 'N', 'P', '82', 'FelicaRivara');
Insert into UfAffiliate values(41356857, 'KIsaza1933@ufl.edu', '305-625-8083', 'N', 'F', '83', 'KristaIsaza');
Insert into UfAffiliate values(65710627, 'KMcclaskey8421@ufl.edu', '830-739-7825', 'N', 'F', '84', 'KittyMcclaskey');
Insert into UfAffiliate values(61965069, 'FOpeka4538@ufl.edu', '345-312-4062', 'N', 'F', '85', 'FlorencioOpeka');
Insert into UfAffiliate values(71018799, 'HWalburn8569@ufl.edu', '113-387-6755', 'Y', 'E', '86', 'HughWalburn');
Insert into UfAffiliate values(21339682, 'MFoth9179@ufl.edu', '928-148-7236', 'N', 'F', '87', 'MaggieFoth');
Insert into UfAffiliate values(44564501, 'JDelao7206@ufl.edu', '379-507-1163', 'N', 'F', '88', 'JanetDelao');
Insert into UfAffiliate values(59908075, 'MSloanes8780@ufl.edu', '896-381-4574', 'N', 'F', '89', 'MignonSloanes');
Insert into UfAffiliate values(26519260, 'SBracklin2225@ufl.edu', '751-908-1849', 'N', 'F', '90', 'ShayneBracklin');
Insert into UfAffiliate values(54651010, 'JAste7610@ufl.edu', '271-370-8992', 'N', 'F', '91', 'JamieAste');
Insert into UfAffiliate values(81561377, 'JFarnum6091@ufl.edu', '424-132-9476', 'N', 'F', '92', 'JeanaFarnum');
Insert into UfAffiliate values(77474100, 'MVandenbosch936@ufl.edu', '756-923-8410', 'N', 'F', '93', 'MaynardVandenbosch');
Insert into UfAffiliate values(93769907, 'LBashi5311@ufl.edu', '651-465-7518', 'N', 'P', '94', 'LuiseBashi');
Insert into UfAffiliate values(57092808, 'HSchueler1988@ufl.edu', '615-762-9226', 'N', 'F', '95', 'HunterSchueler');
Insert into UfAffiliate values(75612305, 'LWubnig3508@ufl.edu', '753-912-8577', 'N', 'F', '96', 'LindseyWubnig');
Insert into UfAffiliate values(83019217, 'LCoolbaugh8329@ufl.edu', '838-142-3079', 'N', 'F', '97', 'LatarshaCoolbaugh');
Insert into UfAffiliate values(52281785, 'RGellings8929@ufl.edu', '112-654-4824', 'N', 'F', '98', 'RochelGellings');
Insert into UfAffiliate values(50761460, 'SLucia1886@ufl.edu', '698-435-3390', 'Y', 'P', '99', 'SherrellLucia');
Insert into UfAffiliate values(33953433, 'TFlaxman9728@ufl.edu', '242-976-3018', 'N', 'F', '100', 'TimFlaxman');
Insert into UfAffiliate values(80130651, 'IRomanik2001@ufl.edu', '880-934-2825', 'N', 'F', '101', 'IveyRomanik');
Insert into UfAffiliate values(53772031, 'SSensabaugh5411@ufl.edu', '427-715-6449', 'N', 'F', '102', 'ShandaSensabaugh');
Insert into UfAffiliate values(31385963, 'SPongkhamsing3783@ufl.edu', '508-131-4682', 'N', 'F', '103', 'SyblePongkhamsing');
Insert into UfAffiliate values(82508377, 'DNoboa4663@ufl.edu', '293-147-4869', 'N', 'F', '104', 'DannetteNoboa');
Insert into UfAffiliate values(49664627, 'JLundie4072@ufl.edu', '695-562-7788', 'N', 'F', '105', 'JaneyLundie');
Insert into UfAffiliate values(53409936, 'ACouch1053@ufl.edu', '694-455-3058', 'N', 'F', '106', 'AllenCouch');
Insert into UfAffiliate values(59976704, 'IGiannell7506@ufl.edu', '147-667-9700', 'N', 'F', '107', 'IrmgardGiannell');
Insert into UfAffiliate values(91364289, 'AYamagata3412@ufl.edu', '318-215-6420', 'N', 'F', '108', 'AbeYamagata');
Insert into UfAffiliate values(12809126, 'JBurbine4103@ufl.edu', '659-216-8718', 'N', 'F', '109', 'JadwigaBurbine');
Insert into UfAffiliate values(11694871, 'RMcfeely5226@ufl.edu', '379-380-4780', 'N', 'F', '110', 'RosiaMcfeely');
Insert into UfAffiliate values(40470232, 'HOcchipinti3237@ufl.edu', '643-689-1974', 'N', 'F', '111', 'HymanOcchipinti');
Insert into UfAffiliate values(34761197, 'TPeffley4810@ufl.edu', '318-651-1768', 'N', 'F', '112', 'TracyPeffley');
Insert into UfAffiliate values(51168111, 'ELumley911@ufl.edu', '657-973-6032', 'N', 'F', '113', 'EloisLumley');
Insert into UfAffiliate values(18745316, 'EBaldenegro4254@ufl.edu', '104-414-3584', 'Y', 'P', '114', 'EzekielBaldenegro');
Insert into UfAffiliate values(34886091, 'LHowes5589@ufl.edu', '882-556-5897', 'N', 'F', '115', 'LianeHowes');
Insert into UfAffiliate values(61839522, 'CFrancesco5415@ufl.edu', '769-942-4547', 'N', 'F', '116', 'CharlesFrancesco');
Insert into UfAffiliate values(40460898, 'EWoodke59@ufl.edu', '686-636-2849', 'N', 'F', '117', 'ErickWoodke');
Insert into UfAffiliate values(73600750, 'SDarks1766@ufl.edu', '777-522-2125', 'Y', 'P', '118', 'SamDarks');
Insert into UfAffiliate values(61951104, 'YKasinger2362@ufl.edu', '466-856-1107', 'N', 'F', '119', 'YingKasinger');
Insert into UfAffiliate values(48985899, 'TLeibe656@ufl.edu', '389-256-1791', 'N', 'F', '120', 'TwannaLeibe');
Insert into UfAffiliate values(91324512, 'LLakhani4442@ufl.edu', '404-195-1025', 'N', 'F', '121', 'LinwoodLakhani');
Insert into UfAffiliate values(31285981, 'MPhilo2857@ufl.edu', '604-206-8744', 'N', 'F', '122', 'ManualPhilo');
Insert into UfAffiliate values(20154273, 'PClearwater830@ufl.edu', '947-882-5056', 'Y', 'P', '123', 'PriscilaClearwater');
Insert into UfAffiliate values(49440427, 'TTomeldan1762@ufl.edu', '314-168-3547', 'N', 'F', '124', 'TobiasTomeldan');
Insert into UfAffiliate values(54518618, 'JRougeot2739@ufl.edu', '662-364-2690', 'N', 'F', '125', 'JohnsieRougeot');
Insert into UfAffiliate values(17189487, 'HLenius8888@ufl.edu', '274-589-2820', 'N', 'P', '126', 'HannahLenius');
Insert into UfAffiliate values(43237273, 'ESherrard3986@ufl.edu', '507-987-5619', 'N', 'F', '127', 'ElvisSherrard');
Insert into UfAffiliate values(30645346, 'AVoges2823@ufl.edu', '618-312-3745', 'N', 'F', '128', 'AlexanderVoges');
Insert into UfAffiliate values(62413226, 'SBanbury2119@ufl.edu', '560-689-1141', 'N', 'F', '129', 'ShaynaBanbury');
Insert into UfAffiliate values(84012255, 'MMcvenes5300@ufl.edu', '482-333-1036', 'N', 'F', '130', 'MarlinMcvenes');
Insert into UfAffiliate values(80464157, 'VLawlor111@ufl.edu', '204-181-8138', 'N', 'F', '131', 'VetaLawlor');
Insert into UfAffiliate values(44907957, 'GEsque6354@ufl.edu', '501-853-6754', 'N', 'F', '132', 'GarlandEsque');
Insert into UfAffiliate values(59519596, 'EGrothaus2402@ufl.edu', '923-977-1997', 'N', 'F', '133', 'ElmoGrothaus');
Insert into UfAffiliate values(49593225, 'LLyssy9972@ufl.edu', '873-844-1838', 'N', 'P', '134', 'LethaLyssy');
Insert into UfAffiliate values(42717859, 'AGlembocki8443@ufl.edu', '939-349-9168', 'N', 'F', '135', 'AdalbertoGlembocki');
Insert into UfAffiliate values(27640554, 'CCretsinger1111@ufl.edu', '346-919-7907', 'N', 'F', '136', 'CarlosCretsinger');
Insert into UfAffiliate values(83191032, 'CArneecher6989@ufl.edu', '470-427-9081', 'N', 'F', '137', 'CarinaArneecher');
Insert into UfAffiliate values(72075488, 'GKahrer470@ufl.edu', '131-358-9872', 'Y', 'P', '138', 'GeorgianneKahrer');
Insert into UfAffiliate values(43507478, 'JFulco9575@ufl.edu', '463-480-6807', 'N', 'F', '139', 'JeniFulco');
Insert into UfAffiliate values(21367937, 'IBehrmann6328@ufl.edu', '631-742-5727', 'N', 'F', '140', 'IluminadaBehrmann');
Insert into UfAffiliate values(95756248, 'HErnstes9875@ufl.edu', '892-470-6530', 'N', 'F', '141', 'HenryErnstes');
Insert into UfAffiliate values(31653890, 'LMassmann1598@ufl.edu', '682-122-5941', 'Y', 'P', '142', 'LamonicaMassmann');
Insert into UfAffiliate values(16931445, 'TMarley9990@ufl.edu', '504-203-6508', 'N', 'F', '143', 'TangelaMarley');
Insert into UfAffiliate values(18464367, 'KCuevas8472@ufl.edu', '909-887-9342', 'N', 'F', '144', 'KerstinCuevas');
Insert into UfAffiliate values(10705189, 'MNguyn1385@ufl.edu', '484-131-3756', 'N', 'F', '145', 'MarlonNguyn');
Insert into UfAffiliate values(64430572, 'VBodyfelt8610@ufl.edu', '989-652-3774', 'N', 'F', '146', 'VanBodyfelt');
Insert into UfAffiliate values(58565163, 'ALapeyrolerie6266@ufl.edu', '306-454-7695', 'N', 'F', '147', 'AdahLapeyrolerie');
Insert into UfAffiliate values(27889213, 'JProkos1167@ufl.edu', '738-903-3380', 'N', 'F', '148', 'JeffieProkos');
Insert into UfAffiliate values(16877977, 'LKijek5506@ufl.edu', '128-393-5150', 'N', 'F', '149', 'LeighKijek');
Insert into UfAffiliate values(90072486, 'SPhagan9222@ufl.edu', '251-358-1706', 'N', 'F', '150', 'ShawneePhagan');
Insert into UfAffiliate values(93425343, 'DLessin666@ufl.edu', '248-184-6293', 'N', 'F', '151', 'DongLessin');
Insert into UfAffiliate values(26753405, 'TCunninghan374@ufl.edu', '813-437-2651', 'N', 'F', '152', 'TonyCunninghan');
Insert into UfAffiliate values(77248993, 'PCatoggio8866@ufl.edu', '510-442-9490', 'N', 'F', '153', 'PaolaCatoggio');
Insert into UfAffiliate values(18259953, 'DLuebano3745@ufl.edu', '130-558-8989', 'N', 'F', '154', 'DerickLuebano');
Insert into UfAffiliate values(23782279, 'HTenner294@ufl.edu', '251-948-6117', 'N', 'F', '155', 'HipolitoTenner');
Insert into UfAffiliate values(82050691, 'MNatvig5498@ufl.edu', '234-362-2200', 'Y', 'P', '156', 'MelonyNatvig');
Insert into UfAffiliate values(45642672, 'RMiga5160@ufl.edu', '505-318-2129', 'Y', 'E', '157', 'RickyMiga');
Insert into UfAffiliate values(59337262, 'MNormington7015@ufl.edu', '387-720-7051', 'Y', 'E', '158', 'MarshallNormington');
Insert into UfAffiliate values(82578759, 'LElg2366@ufl.edu', '194-394-4031', 'Y', 'P', '159', 'LynnElg');
Insert into UfAffiliate values(89040798, 'AArashiro9556@ufl.edu', '874-956-4471', 'N', 'F', '160', 'AlaneArashiro');
Insert into UfAffiliate values(78442792, 'JHonea737@ufl.edu', '834-658-9234', 'N', 'F', '161', 'JayHonea');
Insert into UfAffiliate values(30368976, 'ATeuscher3728@ufl.edu', '786-203-5841', 'N', 'P', '162', 'ArdenTeuscher');
Insert into UfAffiliate values(68523271, 'CMcgarrity4800@ufl.edu', '263-855-2931', 'N', 'F', '163', 'CaseyMcgarrity');
Insert into UfAffiliate values(16996683, 'MSidberry766@ufl.edu', '178-245-6355', 'N', 'F', '164', 'MargaretaSidberry');
Insert into UfAffiliate values(27201268, 'ASalome6814@ufl.edu', '758-125-8066', 'Y', 'P', '165', 'AustinSalome');
Insert into UfAffiliate values(32083876, 'RSandercock8471@ufl.edu', '517-186-2844', 'N', 'F', '166', 'RomeoSandercock');
Insert into UfAffiliate values(96747493, 'HCallery609@ufl.edu', '786-506-2251', 'N', 'F', '167', 'HazelCallery');
Insert into UfAffiliate values(92387371, 'DHaflett8374@ufl.edu', '921-817-1358', 'N', 'F', '168', 'DaleHaflett');
Insert into UfAffiliate values(66194576, 'BDelaguardia8428@ufl.edu', '870-252-3876', 'Y', 'P', '169', 'BernardoDelaguardia');
Insert into UfAffiliate values(77721009, 'CPillo4538@ufl.edu', '952-834-3650', 'N', 'P', '170', 'CapricePillo');
Insert into UfAffiliate values(41234961, 'RBaggs5322@ufl.edu', '112-220-5420', 'N', 'F', '171', 'RobertoBaggs');
Insert into UfAffiliate values(30816733, 'MIozzi9212@ufl.edu', '284-619-5456', 'N', 'F', '172', 'MuiIozzi');
Insert into UfAffiliate values(23644065, 'ESimm3086@ufl.edu', '422-365-9953', 'N', 'F', '173', 'EveliaSimm');
Insert into UfAffiliate values(38347049, 'CMinarcin9775@ufl.edu', '345-102-2007', 'N', 'F', '174', 'ChantelleMinarcin');
Insert into UfAffiliate values(42938364, 'SVahle4936@ufl.edu', '847-774-5788', 'Y', 'P', '175', 'ScottieVahle');
Insert into UfAffiliate values(67239614, 'TBarnebey1073@ufl.edu', '240-329-7965', 'N', 'F', '176', 'TifanyBarnebey');
Insert into UfAffiliate values(56516097, 'ETenny1803@ufl.edu', '310-864-9914', 'N', 'F', '177', 'EricTenny');
Insert into UfAffiliate values(31295454, 'REber1022@ufl.edu', '234-742-5158', 'N', 'F', '178', 'RonEber');
Insert into UfAffiliate values(97060663, 'RSochocki5379@ufl.edu', '496-967-7057', 'Y', 'P', '179', 'RaymondSochocki');
Insert into UfAffiliate values(26045280, 'MMoglia6353@ufl.edu', '633-453-3688', 'Y', 'E', '180', 'MarionMoglia');
Insert into UfAffiliate values(27386576, 'KMeteer8744@ufl.edu', '573-275-3490', 'N', 'F', '181', 'KarriMeteer');
Insert into UfAffiliate values(90206758, 'FBallowe4906@ufl.edu', '699-521-2955', 'N', 'F', '182', 'FreemanBallowe');
Insert into UfAffiliate values(92917669, 'ACuez5647@ufl.edu', '859-519-6185', 'N', 'F', '183', 'AngelynCuez');
Insert into UfAffiliate values(80935567, 'KSpader7041@ufl.edu', '468-672-7484', 'N', 'F', '184', 'KerrySpader');
Insert into UfAffiliate values(54158857, 'CChrisco1068@ufl.edu', '922-172-3053', 'N', 'F', '185', 'CaroylnChrisco');
Insert into UfAffiliate values(31036402, 'ZGolliday1942@ufl.edu', '214-908-1433', 'N', 'F', '186', 'ZacharyGolliday');
Insert into UfAffiliate values(97075836, 'ACumberledge1736@ufl.edu', '544-741-2500', 'Y', 'P', '187', 'AlexCumberledge');
Insert into UfAffiliate values(40928623, 'FSanna8560@ufl.edu', '929-885-5526', 'N', 'F', '188', 'FrankieSanna');
Insert into UfAffiliate values(96270207, 'TKarels7039@ufl.edu', '664-316-4308', 'N', 'F', '189', 'TawandaKarels');
Insert into UfAffiliate values(47800027, 'FStjuste177@ufl.edu', '138-980-9310', 'N', 'F', '190', 'FrancoiseStjuste');
Insert into UfAffiliate values(18311592, 'MSteadings738@ufl.edu', '251-281-5123', 'Y', 'P', '191', 'MckinleySteadings');
Insert into UfAffiliate values(89130727, 'EWilliar8935@ufl.edu', '286-700-5084', 'N', 'F', '192', 'EdaWilliar');
Insert into UfAffiliate values(25759582, 'LEvanchalk5437@ufl.edu', '195-650-1122', 'N', 'F', '193', 'LucianaEvanchalk');
Insert into UfAffiliate values(29760302, 'KHaferkamp1719@ufl.edu', '497-413-3617', 'N', 'F', '194', 'KieshaHaferkamp');
Insert into UfAffiliate values(28241847, 'SEmslander2747@ufl.edu', '563-637-7144', 'N', 'F', '195', 'SergioEmslander');
Insert into UfAffiliate values(62763626, 'RPetruzzi4595@ufl.edu', '918-148-6637', 'N', 'F', '196', 'RaymundoPetruzzi');
Insert into UfAffiliate values(38385410, 'GLajoie3990@ufl.edu', '751-798-4338', 'N', 'F', '197', 'GarnetLajoie');
Insert into UfAffiliate values(66460268, 'WHallberg8604@ufl.edu', '472-584-3227', 'Y', 'P', '198', 'WardHallberg');
Insert into UfAffiliate values(26320024, 'CFeret9899@ufl.edu', '169-868-8409', 'N', 'P', '199', 'ClementinaFeret');
Insert into UfAffiliate values(62128266, 'TCornacchio8722@ufl.edu', '218-615-3646', 'N', 'P', '200', 'TianaCornacchio');
Insert into UfAffiliate values(26778137, 'BEro7312@ufl.edu', '897-220-9420', 'N', 'F', '201', 'BreannEro');
Insert into UfAffiliate values(32086249, 'TParm7922@ufl.edu', '417-769-3149', 'N', 'F', '202', 'TimothyParm');
Insert into UfAffiliate values(27440309, 'RHilsenbeck1164@ufl.edu', '948-301-5605', 'Y', 'P', '203', 'RexHilsenbeck');
Insert into UfAffiliate values(74533404, 'EGisondi8626@ufl.edu', '301-393-8282', 'N', 'F', '204', 'ErlindaGisondi');
Insert into UfAffiliate values(28605411, 'SReza1407@ufl.edu', '344-227-6515', 'N', 'E', '205', 'ShonReza');
Insert into UfAffiliate values(67193215, 'NEnger200@ufl.edu', '791-955-6844', 'N', 'F', '206', 'NickolasEnger');
Insert into UfAffiliate values(49111698, 'TVertucci6138@ufl.edu', '650-323-7595', 'N', 'E', '207', 'TravisVertucci');
Insert into UfAffiliate values(60453630, 'TCracraft297@ufl.edu', '230-808-4121', 'N', 'F', '208', 'ThurmanCracraft');
Insert into UfAffiliate values(12323352, 'GSpeckman5286@ufl.edu', '934-414-7940', 'N', 'F', '209', 'GlennieSpeckman');
Insert into UfAffiliate values(58596221, 'MHandal3432@ufl.edu', '175-489-6275', 'N', 'F', '210', 'MaryHandal');
Insert into UfAffiliate values(55352172, 'MKapper157@ufl.edu', '739-799-5103', 'N', 'F', '211', 'MilissaKapper');
Insert into UfAffiliate values(43195440, 'BDutko7876@ufl.edu', '650-458-1258', 'N', 'P', '212', 'BasilDutko');
Insert into UfAffiliate values(12049031, 'CKurth7769@ufl.edu', '211-391-1838', 'N', 'P', '213', 'CoreenKurth');
Insert into UfAffiliate values(59271280, 'DSchlosberg8828@ufl.edu', '777-802-8594', 'N', 'F', '214', 'DerrickSchlosberg');
